,Network,maze_01.txt,maze_02.txt,maze_03.txt,maze_04.txt,maze_05.txt,maze_06.txt,maze_07.txt,maze_08.txt,maze_09.txt,maze_10.txt,maze_11.txt,maze_12.txt,maze_13.txt,maze_14.txt,maze_15.txt,maze_16.txt,maze_17.txt,maze_18.txt,maze_19.txt,maze_20.txt,std,mean,error
0,classification-alexnet-pretrained-0.pkl,97.22222222222221,98.33333333333333,98.33333333333333,98.07692307692307,97.72727272727273,29.545454545454547,97.72727272727273,97.72727272727273,71.15384615384616,62.5,79.6875,59.210526315789465,97.91666666666666,62.5,93.75,7.352941176470589,73.21428571428571,97.5,97.5,98.21428571428571,25.826868428402484,80.75965682172145,11.319124156562818
1,classification-alexnet-pretrained-1.pkl,97.22222222222221,98.33333333333333,98.33333333333333,98.07692307692307,97.72727272727273,97.72727272727273,97.72727272727273,97.72727272727273,71.15384615384616,98.4375,79.6875,59.210526315789465,45.83333333333333,62.5,93.75,7.352941176470589,73.21428571428571,97.5,97.5,98.21428571428571,24.17884021650831,83.3614560641457,10.596843946878789
2,classification-alexnet-pretrained-2.pkl,97.22222222222221,98.33333333333333,83.33333333333334,98.07692307692307,97.72727272727273,97.72727272727273,97.72727272727273,97.72727272727273,71.15384615384616,98.4375,79.6875,97.36842105263158,97.91666666666666,62.5,93.75,7.352941176470589,73.21428571428571,97.5,97.5,78.57142857142857,21.701023920491934,86.14137461051163,9.510893074843516
3,classification-alexnet-pretrained-3.pkl,97.22222222222221,98.33333333333333,83.33333333333334,98.07692307692307,97.72727272727273,97.72727272727273,97.72727272727273,97.72727272727273,71.15384615384616,62.5,79.6875,59.210526315789465,97.91666666666666,62.5,93.75,7.352941176470589,73.21428571428571,97.5,97.5,98.21428571428571,22.820691688467413,83.41874773081237,10.001609110159606
4,classification-densenet121-pretrained-0.pkl,50.0,43.333333333333336,18.333333333333332,13.461538461538462,13.636363636363635,15.909090909090908,15.909090909090908,38.63636363636363,23.076923076923077,17.1875,9.375,27.631578947368425,75.0,22.5,14.583333333333334,29.411764705882355,8.928571428571429,87.5,57.49999999999999,14.285714285714285,22.292260778705604,29.80997499984536,9.770014052774272
5,classification-densenet121-pretrained-1.pkl,80.55555555555556,98.33333333333333,83.33333333333334,98.07692307692307,97.72727272727273,65.9090909090909,97.72727272727273,97.72727272727273,71.15384615384616,62.5,79.6875,59.210526315789465,97.91666666666666,62.5,77.08333333333334,7.352941176470589,87.5,97.5,97.5,16.071428571428573,26.250341496673606,76.76831483037947,11.504719411752566
6,classification-densenet121-pretrained-2.pkl,52.77777777777778,45.0,91.66666666666666,98.07692307692307,15.909090909090908,65.9090909090909,15.909090909090908,97.72727272727273,71.15384615384616,98.4375,79.6875,59.210526315789465,45.83333333333333,62.5,93.75,7.352941176470589,73.21428571428571,97.5,92.5,16.071428571428573,31.144145757196075,64.00936371205334,13.649523694793407
7,classification-densenet121-pretrained-3.pkl,97.22222222222221,98.33333333333333,83.33333333333334,98.07692307692307,97.72727272727273,97.72727272727273,97.72727272727273,97.72727272727273,71.15384615384616,98.4375,79.6875,59.210526315789465,97.91666666666666,62.5,93.75,7.352941176470589,73.21428571428571,97.5,97.5,78.57142857142857,22.3302687143894,84.23347987366951,9.786671765037461
8,classification-densenet201-pretrained-0.pkl,97.22222222222221,98.33333333333333,83.33333333333334,98.07692307692307,97.72727272727273,97.72727272727273,97.72727272727273,97.72727272727273,98.07692307692307,98.4375,79.6875,59.210526315789465,18.75,62.5,93.75,92.64705882352942,73.21428571428571,97.5,97.5,98.21428571428571,20.235902564379202,86.86814912598582,8.868775329122785
9,classification-densenet201-pretrained-1.pkl,97.22222222222221,98.33333333333333,83.33333333333334,98.07692307692307,97.72727272727273,97.72727272727273,97.72727272727273,97.72727272727273,71.15384615384616,98.4375,79.6875,59.210526315789465,45.83333333333333,62.5,85.41666666666666,92.64705882352942,73.21428571428571,97.5,97.5,78.57142857142857,15.897006086002104,85.47735242268912,6.9671701044176
10,classification-densenet201-pretrained-2.pkl,75.0,55.00000000000001,98.33333333333333,98.07692307692307,56.81818181818182,61.36363636363637,84.0909090909091,97.72727272727273,48.07692307692308,29.6875,98.4375,59.210526315789465,45.83333333333333,52.5,97.91666666666666,51.470588235294116,73.21428571428571,97.5,97.5,78.57142857142857,22.405623460726268,72.81645041619888,9.819697438743813
11,classification-densenet201-pretrained-3.pkl,97.22222222222221,98.33333333333333,98.33333333333333,98.07692307692307,97.72727272727273,97.72727272727273,61.36363636363637,97.72727272727273,63.46153846153846,62.5,26.5625,59.210526315789465,45.83333333333333,97.5,93.75,92.64705882352942,19.642857142857142,97.5,97.5,98.21428571428571,26.019280469048297,80.04166831513001,11.403452451467222
12,classification-resnet18-pretrained-0.pkl,97.22222222222221,98.33333333333333,83.33333333333334,98.07692307692307,97.72727272727273,97.72727272727273,97.72727272727273,97.72727272727273,71.15384615384616,62.5,79.6875,59.210526315789465,45.83333333333333,62.5,93.75,7.352941176470589,73.21428571428571,97.5,97.5,98.21428571428571,24.01943889859748,80.8145810641457,10.52698323909866
13,classification-resnet18-pretrained-1.pkl,97.22222222222221,98.33333333333333,83.33333333333334,98.07692307692307,97.72727272727273,97.72727272727273,97.72727272727273,97.72727272727273,71.15384615384616,62.5,79.6875,59.210526315789465,45.83333333333333,62.5,93.75,92.64705882352942,73.21428571428571,97.5,97.5,78.57142857142857,16.53052688196105,84.0971440893558,7.244822835142699
14,classification-resnet18-pretrained-2.pkl,97.22222222222221,98.33333333333333,98.33333333333333,98.07692307692307,97.72727272727273,97.72727272727273,97.72727272727273,97.72727272727273,71.15384615384616,62.5,79.6875,59.210526315789465,45.83333333333333,62.5,93.75,7.352941176470589,73.21428571428571,97.5,97.5,98.21428571428571,24.334346555241545,81.5645810641457,10.664997604769354
