,Network,maze_01.txt,maze_02.txt,maze_03.txt,maze_04.txt,maze_05.txt,maze_06.txt,maze_07.txt,maze_08.txt,maze_09.txt,maze_10.txt,maze_11.txt,maze_12.txt,maze_13.txt,maze_14.txt,maze_15.txt,maze_16.txt,maze_17.txt,maze_18.txt,maze_19.txt,maze_20.txt,std,mean,error
0,classification-alexnet-pretrained-0.pkl,862,1478,1527,1350,1119,392,974,1105,892,1140,1166,1067,1211,621,1077,93,1045,970,940,1452,349.6308542027238,1024.05,153.23247797760726
1,classification-alexnet-pretrained-1.pkl,850,1472,1529,1343,1118,1084,965,1099,881,1658,1158,1059,630,612,1066,91,1043,969,939,1453,357.4951563897129,1050.95,156.679160377606
2,classification-alexnet-pretrained-2.pkl,855,1474,1395,1346,1120,1093,978,1101,891,1665,1214,1990,1214,613,1071,91,1036,971,935,1293,389.26991041935764,1117.3,170.6050603334157
3,classification-alexnet-pretrained-3.pkl,863,1468,1395,1349,1115,1095,971,1101,884,1140,1167,1060,1218,615,1070,90,1048,970,938,1454,308.1577646186071,1050.55,135.05609505839064
4,classification-densenet121-pretrained-0.pkl,562,765,355,236,324,222,236,477,320,355,239,545,983,309,222,698,196,936,615,282,244.22902862078587,443.85,107.0380911746645
5,classification-densenet121-pretrained-1.pkl,783,1470,1395,1354,1119,783,982,1099,882,1140,1173,1060,1209,608,997,92,1248,963,940,307,344.0055997096253,980.2,150.7671014958956
6,classification-densenet121-pretrained-2.pkl,511,780,1514,1346,273,766,222,1099,881,1657,1160,1062,613,614,1077,90,1064,960,970,307,429.4695749287413,848.3,188.22334010648655
7,classification-densenet121-pretrained-3.pkl,865,1478,1378,1346,1118,1110,1010,1100,875,1656,1170,1062,1209,610,1061,90,1044,965,946,1293,328.28230790618386,1069.3,143.87606503259377
8,classification-densenet201-pretrained-0.pkl,855,1486,1378,1344,1106,1093,965,1105,1291,1650,1173,1071,273,619,1058,1551,1052,956,928,1453,324.34002219892625,1120.35,142.1482821422756
9,classification-densenet201-pretrained-1.pkl,862,1488,1395,1354,1122,1097,976,1105,890,1660,1159,1074,613,613,1106,1566,1042,963,945,1293,281.5558792813511,1116.15,123.39730476541384
10,classification-densenet201-pretrained-2.pkl,766,936,1528,1327,749,749,1021,1097,732,613,1581,1083,630,647,1178,1021,1036,968,946,1293,283.835474026397,995.05,124.3963812123843
11,classification-densenet201-pretrained-3.pkl,854,1474,1539,1355,1126,1110,732,1149,919,1140,460,1071,630,1037,1076,1558,409,970,940,1450,330.00246809284386,1049.95,144.62995847406762
12,classification-resnet18-pretrained-0.pkl,864,1474,1395,1347,1117,1098,980,1097,878,1140,1167,1059,613,606,1067,91,1030,961,934,1452,321.0650860397066,1018.5,140.71297808697412
13,classification-resnet18-pretrained-1.pkl,858,1478,1395,1361,1121,1100,984,1099,882,1157,1162,1071,613,609,1065,1573,1044,969,942,1293,252.2691962337476,1088.8,110.56184999594714
14,classification-resnet18-pretrained-2.pkl,856,1474,1514,1344,1111,1078,967,1093,872,1123,1160,1057,613,607,1060,90,1049,954,930,1450,328.9699874328644,1020.1,144.17745387359872
15,classification-resnet18-pretrained-3.pkl,854,1482,1412,1358,1133,154,977,324,239,1662,1173,273,1211,154,154,93,1059,962,205,1451,551.7335836872911,816.5,241.80790452449298
16,classification-resnet50-pretrained-0.pkl,866,1474,1550,1391,1158,1120,985,1113,889,467,443,1100,333,631,1075,1582,1049,964,953,1293,353.5295119073847,1021.8,154.94114005273775
17,classification-resnet50-pretrained-1.pkl,855,1477,1395,1353,1119,1091,982,1103,885,1157,1168,1065,630,620,987,1575,1058,972,942,1459,259.95956669411004,1094.65,113.93230345576637
18,classification-resnet50-pretrained-2.pkl,862,1482,1562,1327,1123,1096,902,1120,883,1665,1162,1073,1219,616,1073,90,1074,962,959,1464,349.1214688328405,1085.7,153.00922999610188
19,classification-resnet50-pretrained-3.pkl,844,1463,1382,1357,1115,1090,975,749,879,1140,1565,1071,630,610,1060,1559,1037,959,937,1293,281.5767400306989,1085.75,123.40644739192007
20,classification-squeezenet1_1-pretrained-0.pkl,850,1473,1541,1346,1117,1091,966,1101,885,1648,1186,1062,1201,608,1060,1570,1055,964,936,1490,275.15345001041067,1157.5,120.59131641950621
21,classification-squeezenet1_1-pretrained-1.pkl,858,1466,1535,1340,1112,1086,975,1097,883,1670,1167,1052,1202,608,1058,97,1046,960,935,1468,345.80917692002515,1080.75,151.5575540599398
22,classification-squeezenet1_1-pretrained-2.pkl,853,1464,1525,1343,1113,1085,972,1097,883,1651,1159,1059,1208,613,1069,1573,1029,962,937,1449,271.1863992863483,1152.2,118.85267978202434
23,classification-squeezenet1_1-pretrained-3.pkl,860,1468,1412,1349,1115,1089,980,1100,882,1140,1167,1063,630,613,1062,92,1036,959,937,1446,319.5338710322305,1020.0,140.04189352137675
24,classification-vgg11_bn-pretrained-0.pkl,859,1465,1429,1359,1135,1104,992,1108,1303,1680,1565,1070,1223,1056,1064,1103,1041,976,943,1293,219.70851503514234,1188.4,96.29150227140612
25,classification-vgg11_bn-pretrained-1.pkl,861,1470,1429,1357,1121,1093,982,1111,1298,1140,1582,1065,1208,1028,1178,1599,1408,952,943,1293,215.63880619415912,1205.9,94.50787373046032
26,classification-vgg11_bn-pretrained-2.pkl,865,1474,1395,1361,1144,1103,983,1112,1296,1657,1186,1068,630,1014,1071,1571,1052,971,962,1255,247.90246384202672,1158.5,108.64804514432926
27,classification-vgg11_bn-pretrained-3.pkl,852,1470,1395,1339,1125,1097,970,1103,1278,1657,1565,1061,630,1036,1071,1584,1039,972,942,681,286.80733951557096,1143.35,125.69885869012494
28,classification-vgg19_bn-pretrained-0.pkl,845,1480,1395,1352,1120,1089,984,1101,884,1140,1166,1071,1208,610,1064,95,1052,965,936,1464,309.7086024330817,1051.05,135.73577969833818
29,classification-vgg19_bn-pretrained-1.pkl,866,1488,1412,1358,1132,1093,984,1112,888,1679,1179,1073,613,612,1079,90,1050,968,943,1293,347.1329792214475,1045.6,152.137735999151
